Country,Clicks,Impressions,CTR,Position
New Zealand,183,2052,8.92%,8.66
Australia,2,48,4.17%,9.79
United States,1,122,0.82%,14
South Korea,1,12,8.33%,7.33
Singapore,1,8,12.5%,7.12
Japan,1,4,25%,3.25
France,0,18,0%,8.56
United Kingdom,0,17,0%,7.88
Canada,0,13,0%,8.46
Philippines,0,13,0%,10.54
Brazil,0,12,0%,6.33
Malaysia,0,11,0%,5.45
Vietnam,0,10,0%,19.7
Italy,0,9,0%,8.33
Hong Kong,0,6,0%,6.83
Taiwan,0,5,0%,7
Spain,0,5,0%,10.6
Indonesia,0,5,0%,12.6
Germany,0,4,0%,4.75
Argentina,0,4,0%,5.5
India,0,4,0%,8.5
Turkey,0,3,0%,5.33
Fiji,0,3,0%,6.67
Pakistan,0,3,0%,6.67
Mexico,0,3,0%,7.33
China,0,3,0%,9.33
Thailand,0,3,0%,20
Saudi Arabia,0,3,0%,20.67
Chile,0,2,0%,1
Switzerland,0,2,0%,3.5
Netherlands,0,2,0%,6.5
Iraq,0,2,0%,8
Bangladesh,0,2,0%,9.5
Poland,0,2,0%,12
United Arab Emirates,0,1,0%,1
Trinidad & Tobago,0,1,0%,1
Samoa,0,1,0%,1
South Africa,0,1,0%,1
Colombia,0,1,0%,5
New Caledonia,0,1,0%,5
Portugal,0,1,0%,5
Oman,0,1,0%,6
Peru,0,1,0%,8
Bermuda,0,1,0%,10
Lithuania,0,1,0%,10
Ecuador,0,1,0%,11
Luxembourg,0,1,0%,14
Mauritius,0,1,0%,19
Romania,0,1,0%,19
Costa Rica,0,1,0%,94
Azerbaijan,0,1,0%,97
