Top queries,Clicks,Impressions,CTR,Position
judo north shore,23,61,37.7%,4
judo near me,7,85,8.24%,8.8
judo auckland,6,344,1.74%,9.51
judo albany,3,5,60%,1.8
north shore judo,3,4,75%,1
judo,2,347,0.58%,9.57
auckland judo,1,49,2.04%,8.37
judo for kids,1,16,6.25%,7.31
judo gym,1,14,7.14%,8
yes,1,1,100%,5
judo gym near me,1,1,100%,6
judo nz,0,69,0%,9.57
judo studio,0,30,0%,3.73
judi,0,16,0%,9.06
judo club,0,16,0%,12.69
judo classes near me,0,15,0%,12.67
judo kids,0,10,0%,7
judo classes,0,10,0%,15.4
voc north shore jsm,0,9,0%,19
judo class,0,7,0%,15.14
nz judo,0,7,0%,21.86
judo club near me,0,6,0%,2.33
kids judo classes near me,0,6,0%,7
judo christchurch,0,6,0%,56.33
judo gyms near me,0,5,0%,9.2
judo new zealand,0,5,0%,34.4
karate north shore,0,5,0%,55.4
kids judo,0,4,0%,6.5
judo clubs near me,0,4,0%,7.75
judos,0,4,0%,8
judo classes for kids near me,0,4,0%,9.5
new zealand judo,0,4,0%,41.75
taekwondo north shore,0,4,0%,59
judo academy,0,3,0%,5.67
judp,0,3,0%,6.67
learn judo near me,0,3,0%,10.67
christchurch judo school,0,3,0%,65
north shore dog training club,0,3,0%,79.33
judo cost,0,2,0%,2
judo school,0,2,0%,4
judo coach,0,2,0%,5
judo lessons near me,0,2,0%,5
judo teacher,0,2,0%,5
kids judo classes,0,2,0%,5
judo newr me,0,2,0%,6.5
judo training latest,0,2,0%,9
judo classes for kids,0,2,0%,11
judo near me for kids,0,2,0%,11.5
"judo new zealand, sports club",0,2,0%,19
nippon judo,0,2,0%,37
metro judo club,0,2,0%,43
judo class near me,0,2,0%,48
unsw judo club,0,2,0%,68
bjj north shore,0,2,0%,78.5
dojo,0,1,0%,1
judo bear me,0,1,0%,1
judo central coast,0,1,0%,1
judo hall,0,1,0%,1
judo schools near me,0,1,0%,1
judo tournament near me,0,1,0%,1
judo training near me,0,1,0%,1
kudo classes,0,1,0%,1
martial arts training centre particularly for judo,0,1,0%,1
albany judo,0,1,0%,2
club de judo,0,1,0%,2
judo hastings,0,1,0%,2
judo classes kids adults,0,1,0%,4
judo competition near me,0,1,0%,4
judo live,0,1,0%,4
judo n,0,1,0%,4
judo the sport,0,1,0%,4
judo newmarket,0,1,0%,5
judo registration,0,1,0%,5
judoka training,0,1,0%,5
live judo,0,1,0%,5
judo classes near me for kids,0,1,0%,6
local judo clubs,0,1,0%,6
judo lessons,0,1,0%,7
judo near,0,1,0%,7
judo near me for adults,0,1,0%,7
judo near me for adults for beginners,0,1,0%,7
judo training,0,1,0%,7
sensei judo,0,1,0%,7
in auckland,0,1,0%,8
train judo,0,1,0%,8
beginner judo classes near me,0,1,0%,9
jodo near me,0,1,0%,9
judo nearby,0,1,0%,9
judo therapy,0,1,0%,9
judo clubs,0,1,0%,10
judo player,0,1,0%,10
judo schools,0,1,0%,10
judokai,0,1,0%,11
judo kids near me,0,1,0%,12
judo for kids near me,0,1,0%,13
judo weight classes,0,1,0%,14
"howick and st heliers academy of judo, martial arts school, auckland",0,1,0%,19
gisborne judo club,0,1,0%,28
three kings judo,0,1,0%,33
auckland university judo club,0,1,0%,38
auckland uni judo,0,1,0%,39
north shore chess club,0,1,0%,58
hamilton judo club,0,1,0%,60
henkada judo club,0,1,0%,64
three kings judo club,0,1,0%,66
34 barrys point road,0,1,0%,67
big judo,0,1,0%,69
judo hamilton,0,1,0%,71
north richland hills judo school,0,1,0%,84
north shore dog training,0,1,0%,97
jiu jitsu north shore,0,1,0%,99
judo school north richland hills,0,1,0%,99
north shore takapuna,0,1,0%,99
north shore club,0,1,0%,112
taekwondo clubs,0,1,0%,117
