query,organic_rank,map_pack_rank,ranking_url,page_title,snippet,top_3_competitors,intent_type,priority,notes
north shore judo,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...","judokwai.org; nipponjudoschools.com; alivedojo.co.nz","Branded navigational","Low","Ranks #1; map panel shows North Shore Judo; maintain position"
northshore judo,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Branded navigational,Low,Ranks #1; map pack shows North Shore Judo at top with competitors Judokwai and Nippon
northshorejudo,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Branded navigational,Low,Ranks #1; map pack features North Shore Judo with other clubs
northshorejudo.co.nz,1,0,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; alivedojo.co.nz; judoauckland.co.nz,Branded navigational,Low,Domain search ranks #1; no map pack triggered
north shore judo club,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Branded local,Low,Ranks #1 organically and in map pack; competitor results include Judokwai and Nippon
north shore judo takapuna,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Local brand,Medium,North Shore Judo ranks #1 for location-specific query; map pack features same competitors
north shore judo auckland,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Local brand,Medium,Top organic result; map pack shows North Shore Judo with Judokwai and Nippon
north shore judo nz,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",nipponjudoschools.com; judokwai.org; alivedojo.co.nz,Local brand,Medium,Organic result #1; map pack includes Nippon Judo Schools and Judokwai
north shore judo pricing,1,0,https://northshorejudo.co.nz/pricing,North Shore Judo Pricing | Class Fees in Takapuna North Shore Judo,"Monthly Class Fees; Pee Wees, 4-6 years, Tuesday 6:00 PM - 6:30 PM, $36/month; Juniors, 7-14 years, Tuesday & Thursday 6:45 PM - 7:45 PM, $73/month...",judokwai.org; nipponjudoschools.com; alivedojo.co.nz,Transactional/pricing,Medium,Pricing page ranks #1; competitor pricing pages from Judokwai and Nippon appear below
north shore judo classes,1,1,https://northshorejudo.co.nz,"North Shore Judo | Judo Classes in Takapuna, Auckland NZ North Shore Judo","North Shore Judo: Auckland's friendliest judo club in Takapuna. Kids, teens & adult judo classes. Beginners welcome. FREE first class, competition-size dojo...",judokwai.org; blackknightsbjj.co.nz; nipponjudoschools.com,Service class search,High,North Shore Judo appears first organically and in map pack; competitor Black Knights BJJ features in map pack
